rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =         door_close | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =               idle | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =            move_up | floor = 0101 | current_floor = 0000 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =            move_up | floor = 0101 | current_floor = 0001 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =            move_up | floor = 0101 | current_floor = 0010 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =            move_up | floor = 0101 | current_floor = 0011 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =            move_up | floor = 0101 | current_floor = 0100 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =            move_up | floor = 0101 | current_floor = 0101 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0101 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =       weight_check | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =         door_close | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =               idle | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0101 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =       weight_check | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =         door_close | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =               idle | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0101 | 
============Test Case 6 : Now lift is at fifth floor let us assume that people are in ground floor now if down=1  and people outside the lift selected floor=0 then lift need to come to ground floor============
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =       weight_check | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 110010000 | current_state =          door_open | floor = 0000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 1 | fan_on = 1 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
